"order_month","orders","items","gmv_net","unit_price","basket_size","aov_recalc"
"2017-03-01 00:00:00.000","2546","2897","359198.85","123.98993786675871","1.0","123.98993786675871"
"2018-08-01 00:00:00.000","6351","7142","838576.6399999916","117.41481937832422","1.0","117.41481937832422"
"2017-07-01 00:00:00.000","3872","4416","481604.5199999984","109.05899456521702","1.0","109.05899456521702"
"2017-02-01 00:00:00.000","1653","1858","234223.40000000055","126.0621097954793","1.0","126.0621097954793"
"2017-09-01 00:00:00.000","4150","4737","607399.6699999967","128.22454507071916","1.0","128.22454507071916"
"2017-08-01 00:00:00.000","4193","4797","554699.6999999979","115.63470919324533","1.0","115.63470919324533"
"2018-01-01 00:00:00.000","7069","8037","924644.9999999881","115.04852556924078","1.0","115.04852556924078"
"2016-12-01 00:00:00.000","1","1","10.9","10.9","1.0","10.9"
"2017-10-01 00:00:00.000","4478","5214","648247.6499999953","124.32827963175973","1.0","124.32827963175973"
"2017-06-01 00:00:00.000","3135","3489","421923.36999999906","120.9295987388934","1.0","120.9295987388934"
"2018-07-01 00:00:00.000","6159","6963","867953.459999992","124.65222748815052","1.0","124.65222748815052"
"2018-02-01 00:00:00.000","6555","7518","826437.1299999903","109.9277906358061","1.0","109.9277906358061"
"2018-06-01 00:00:00.000","6099","7010","856077.859999992","122.12237660484907","1.0","122.12237660484907"
"2016-10-01 00:00:00.000","265","313","40325.109999999964","128.83421725239606","1.0","128.83421725239606"
"2017-04-01 00:00:00.000","2303","2569","340669.67999999976","132.60789412222644","1.0","132.60789412222644"
"2018-04-01 00:00:00.000","6798","7827","973534.0899999891","124.38151143477566","1.0","124.38151143477566"
"2018-03-01 00:00:00.000","7003","8017","953356.2499999887","118.91683297991626","1.0","118.91683297991626"
"2017-05-01 00:00:00.000","3546","4004","489338.2499999987","122.21235014984983","1.0","122.21235014984983"
"2017-11-01 00:00:00.000","7289","8475","987765.3699999866","116.55048613569164","1.0","116.55048613569164"
"2017-12-01 00:00:00.000","5513","6187","726033.1899999924","117.3481800549527","1.0","117.3481800549527"
"2017-01-01 00:00:00.000","750","913","111798.36000000025","122.45165388828066","1.0","122.45165388828066"
"2018-05-01 00:00:00.000","6749","7810","977544.6899999888","125.16577336747615","1.0","125.16577336747615"
"2016-09-01 00:00:00.000","1","3","134.97","44.99","3.0","134.97"
