"order_month","orders","gmv","gmv_gross","aov"
"2017-07-01 00:00:00.000","3872","481604.51999999845","566299.0799999996","124.3813326446277"
"2017-02-01 00:00:00.000","1653","234223.40000000055","271239.3199999999","141.6959467634607"
"2017-03-01 00:00:00.000","2546","359198.8499999999","414330.9499999995","141.08360172820107"
"2018-08-01 00:00:00.000","6351","838576.6399999916","985491.6400000006","132.0385199181218"
"2017-09-01 00:00:00.000","4150","607399.6699999967","701077.4900000007","146.36136626505944"
"2018-01-01 00:00:00.000","7069","924644.9999999881","1077887.4599999988","130.80280096194485"
"2017-08-01 00:00:00.000","4193","554699.6999999979","645832.3599999999","132.29184354877125"
"2016-12-01 00:00:00.000","1","10.9","19.62","10.9"
"2017-10-01 00:00:00.000","4478","648247.6499999953","751117.0099999997","144.7627623939248"
"2018-02-01 00:00:00.000","6555","826437.1299999903","966168.409999999","126.07736536994513"
"2018-06-01 00:00:00.000","6099","856077.8599999921","1011978.290000001","140.36364322019872"
"2017-04-01 00:00:00.000","2303","340669.67999999976","390812.39999999997","147.9243074250976"
"2016-10-01 00:00:00.000","265","40325.10999999997","46490.65999999999","152.17022641509422"
"2017-06-01 00:00:00.000","3135","421923.36999999906","490050.36999999994","134.58480701754357"
"2018-07-01 00:00:00.000","6159","867953.4599999919","1027807.2800000005","140.9244130540659"
"2017-01-01 00:00:00.000","750","111798.36000000023","127482.37000000004","149.06448000000032"
"2017-05-01 00:00:00.000","3546","489338.2499999987","566851.3999999994","137.99725042301148"
"2017-11-01 00:00:00.000","7289","987765.3699999866","1153364.1999999993","135.51452462614716"
"2017-12-01 00:00:00.000","5513","726033.1899999924","843078.2899999995","131.6947560311976"
"2018-04-01 00:00:00.000","6798","973534.0899999891","1132878.9300000009","143.2088982053529"
"2018-03-01 00:00:00.000","7003","953356.2499999886","1120598.240000001","136.13540625446075"
"2018-05-01 00:00:00.000","6749","977544.6899999888","1128774.520000001","144.84289376203716"
"2016-09-01 00:00:00.000","1","134.97","143.46","134.97"
